id,title,artists,release_artist
5,Another,"David Tudor;electronics:zither|John Cage;cactus:piano|Aki Takahashi;piano",Aki Takahashi; Callithumpian Consort; Stephen Drury


id,title,artists,release_artist
5,Another,"Arun Bharali|Erik Ulman|Mary Oliver|Conrad Bruderer;violins|Frank Cox;cello|Ulfar Haraldsson;double bass|Harvey Sollberger;conductor
",Aki Takahashi; Callithumpian Consort; Stephen Drury

